ean,pasillo,rubro,subrubro,descripcion,marca,imagen_url,nombre_dia
7790070433275,Almacén,Panadería,Pan rallado y Rebozadores,,LUCCHETTI,https://ardiaprod.vteximg.com.br/arquivos/ids/375239/Pan-Rallado-Lucchetti-500-Gr-_1.jpg?v=639184371495900000,Pan Rallado Lucchetti 500 Gr.
7506339363883,Perfumería,Cuidado Bucal,Pastas de dientes,,ORAL B,https://ardiaprod.vteximg.com.br/arquivos/ids/333219/Pasta-Dental-OralB-123-Anti-Caries-Menta-Suave-70-Gr-_1.jpg?v=638620966189100000,Pasta Dental Oral-B 123 Anti Caries Menta Suave 70 Gr.
7509552923766,Perfumería,Cuidado del pelo,Coloración,,NUTRISSE,https://ardiaprod.vteximg.com.br/arquivos/ids/351466/Tintura-Permanente-30-Espresso-Nutrisse-1-Ud-_1.jpg?v=638845412626670000,Tintura Permanente 30 Espresso Nutrisse 1 Ud.
7791250003127,Bebidas,Bebidas blancas y Licores,Ron y Vodka,,SMIRNOFF,https://ardiaprod.vteximg.com.br/arquivos/ids/342162/Vodka-Lata-Greenapple-Smirnoff-473-Ml-_1.jpg?v=638708914659500000,Vodka Lata Greenapple Smirnoff 473 Ml.
7790040133266,Desayuno,Galletitas y Cereales,Galletitas dulces,,MANA,https://ardiaprod.vteximg.com.br/arquivos/ids/352905/Galletas-Vainilla-Con-Relleno-De-Frutilla-Mana-152-Gr-_1.jpg?v=638866143810030000,Galletas Vainilla Con Relleno De Frutilla Mana 152 Gr.
7798062547559,Bebidas,Aguas,Aguas sin gas,,VILLA DEL SUR( LEVITE),https://ardiaprod.vteximg.com.br/arquivos/ids/332423/Agua-Sin-Gas-Mineral-Villa-Del-Sur-225-Lt-_1.jpg?v=638619039431030000,"Agua Sin Gas Mineral Villa Del Sur 2,25 Lt."
7790070410801,Almacén,Repostería,Premezclas dulces,,EXQUISITA,https://ardiaprod.vteximg.com.br/arquivos/ids/358545/Premezcla-Exquisita-Cookies-con-Chips-de-Chocolate-300-Gr-_1.jpg?v=638949951079600000,Premezcla Exquisita Cookies con Chips de Chocolate 300 Gr.
7792640001167,Perfumería,Cuidado del pelo,Acondicionadores,,CAPILATIS,https://ardiaprod.vteximg.com.br/arquivos/ids/347279/Acondicionador-Capilatis-Puro-Rubio-420-Ml-_1.jpg?v=638777150288670000,Acondicionador Capilatis Puro Rubio 420 Ml.
7790250040750,Bebés y Niños,Pañales,Pañales,,BABYSEC,https://ardiaprod.vteximg.com.br/arquivos/ids/347505/Pañales-Babysec-Ultrasoft-P-12-Ud-_1.jpg?v=638780677140700000,Pañales Babysec Ultrasoft P 12 Ud.
7792184003085,Desayuno,Galletitas y Cereales,Galletitas dulces,,SORIANO,https://ardiaprod.vteximg.com.br/arquivos/ids/318660/Galletitas-Biscuit-Soriano-125-Gr-_1.jpg?v=638955433151330000,Galletitas Biscuit Soriano 125 Gr.
7791293050829,Perfumería,Jabones,Jabones en barra,,LUX,https://ardiaprod.vteximg.com.br/arquivos/ids/359770/Jabon-Botanico-Orquidea-Negra-Lux-120-Gr-_1.jpg?v=638963771277800000,Jabon Botanico Orquidea Negra Lux 120 Gr.
608875008994,Almacén,Aceites y Aderezos,Ketchup,,HEINZ,https://ardiaprod.vteximg.com.br/arquivos/ids/318187/Ketchup-Heinz-190-Gr-_1.jpg?v=638599485621300000,Ketchup Heinz 190 Gr.
7790060023684,Almacén,Aceites y Aderezos,Aceites de girasol,,COCINERO,https://ardiaprod.vteximg.com.br/arquivos/ids/339766/Aceite-de-Girasol-Cocinero-15-Lt-_1.jpg?v=638840609090200000,"Aceite de Girasol Cocinero 1,5 Lt."
8445290180209,Bebés y Niños,Alimentación para bebés,Leches infantiles,"""Unidad de 200 mililitros                            Nidina® 2 de continuación (6 a 12 meses) con Hierro y Zinc, fibra y más de 20 vitaminas y minerales. Sin azúcar agregada. Los ácidos grasos Omega 3 y 5 son nutrientes esenciales. ¡Lista para tomar!                                         Fórmula láctea para lactantes líquida UAT - Libre de gluten. Contiene lactosa

La leche materna sigue siendo la mejor leche para tu bebé hasta por lo menos los dos años de vida. Producto solo es adecuado para lactantes mayores de 6 meses y como parte de una dieta diversificada. No debe utilizarse durante los primeros 6 meses de vida.

Conservación: Mantener el envase cerrado en un lugar fresco y seco. No exponer a a luz solar. Consumir antes de la fecha indicada en el envase. Una vez abierto el envase, consumir y desechar el resto. No consumir si el envase se encuentra dañado. Evitar el almacenamiento prolongado a temperatura excesiva. 
""",NIDINA,https://ardiaprod.vteximg.com.br/arquivos/ids/353587/Nidina-2-Listo-Para-Tomar-X-200-Ml-_1.jpg?v=638871333518130000,Nidina 2 Listo Para Tomar X 200 Ml.
7790895641800,Bebidas,Jugos e Isotónicas,Jugos listos,,CEPITA,https://ardiaprod.vteximg.com.br/arquivos/ids/311869/Jugo-Cepita-Del-Valle-Naranja-Tentacion-15-Lt-_1.jpg?v=638905163632970000,"Jugo Cepita Del Valle Naranja Tentación 1,5 Lt."
7891150025967,Bebés y Niños,Cuidado del Bebé,Cremas y jabones,,DOVE,https://ardiaprod.vteximg.com.br/arquivos/ids/352966/Jabon-Liquido-Humectante-Sensible-Dove-Baby-200-Ml-_1.jpg?v=638869610178070000,Jabon Liquido Humectante Sensible Dove Baby 200 Ml.
7896009419324,Perfumería,Cuidado Bucal,Pastas de dientes,,SENSODYNE,https://ardiaprod.vteximg.com.br/arquivos/ids/318008/Crema-Dental-Sensodyne-Original-90-Gr-_1.jpg?v=639044190610330000,Crema Dental Sensodyne Original 90 Gr.
7792180143617,Congelados,Comidas congeladas,Pizzas congeladas,,MAMA COCINA,https://ardiaprod.vteximg.com.br/arquivos/ids/350414/Pizzeta-Individual-Pietro-540-Gr-_1.jpg?v=638822944610830000,Pizzeta Individual Pietro 540 Gr.
7798332150151,Bebidas,Cervezas,Rubia,,BIERHAUS,https://ardiaprod.vteximg.com.br/arquivos/ids/371801/Cerveza-Red-Ipa-Timeless-Bierhaus-473-Ml-_1.jpg?v=639156448613130000,Cerveza Red Ipa Timeless Bierhaus 473 Ml.
7790150435380,Almacén,Aceites y Aderezos,Especias,,ALICANTE,https://ardiaprod.vteximg.com.br/arquivos/ids/327076/Canela-Molida-Alicante-25-Gr-_1.jpg?v=638937964166370000,Canela Molida Alicante 25 Gr.
7798146139229,Almacén,Aceites y Aderezos,Otros aderezos,,DOS ANCLAS,https://ardiaprod.vteximg.com.br/arquivos/ids/366452/Salsa-de-Soja-Libre-de-Gluten-Dos-Anclas-500-Ml-_1.jpg?v=639089056664070000,Salsa de Soja Libre de Gluten Dos Anclas 500 Ml.
7794000008915,Almacén,Aceites y Aderezos,Otros aderezos,,HELLMANNS,https://ardiaprod.vteximg.com.br/arquivos/ids/308191/Salsa-Picante-Hellmanns-250-Gr-_1.jpg?v=638599340161600000,Salsa Picante Hellmanns 250 Gr.
7794940000550,Desayuno,Infusiones y Endulzantes,Azúcar,,HILERET 1A10,https://ardiaprod.vteximg.com.br/arquivos/ids/326903/Azucar-Light-Hileret-250-Gr-_1.jpg?v=638599601662070000,Azúcar Light Hileret 250 Gr.
7798360590110,Almacén,Panadería,Pan de Hamburguesa y Pancho,,REY ORO,https://ardiaprod.vteximg.com.br/arquivos/ids/341832/Pan-De-Hamburguesa-Rey-Oro-Brioche-300-Gr--4-Ud-_1.jpg?v=638708910774700000,Pan De Hamburguesa Rey Oro Brioche 300 Gr. 4 Ud.
7792931001050,Bebidas,Aguas,Aguas con gas,,GLACIAR,https://ardiaprod.vteximg.com.br/arquivos/ids/326527/Agua-Mineral-con-Gas-Glaciar-15-Lt-_1.jpg?v=639185346423170000,"Agua Mineral con Gas Glaciar 1,5 Lt."
7791293050355,Perfumería,Cuidado del pelo,Acondicionadores,,DOVE,https://ardiaprod.vteximg.com.br/arquivos/ids/332499/Acondicionador-Hidratacion-Dove-400-Ml-_1.jpg?v=638619040222900000,Acondicionador Hidratación Dove 400 Ml.
